track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_perc,energy_perc,,,bpm,Average of energy_%,,,,,,,Column1,Column2,Column3,Column4,Column5,Column6,Column7,,,,,released_year,Average of streams
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,19,143,138,78,83,,,,,,,,,,,,,,,,,,,,,,,
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613,98,95,96,86,80,,,,,,,,,,,,,,,,,,,,,,,
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,104,77,63,,,,,,,,,,,,,,,,,,,,,,,
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,24,101,164,45,62,,,,,,,,,,,,,,,,,,,,,,,
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197,115,118,68,82,,,,,,,,,,,,,,,,,,,,,,,
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,137,125,81,68,60,,,,,,,,,,,,,,,,,,,,,,,
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,211,74,117,82,45,,,,,,,,,,,,,,,,,,,,,,,
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,70,82,174,45,37,,,,,,,,,,,,,,,,,,,,,,,
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,128,73,77,,,,,,,,,,,,,,,,,,,,,,,
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,0,0,145,60,27,,,,,,,,,,,,,,,,,,,,,,,
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0,0,150,65,55,,,,,,,,,,,,,,,,,,,,,,,
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,90,60,53,,,,,,,,,,,,,,,,,,,,,,,
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133,92,85,55,53,,,,,,,,,,,,,,,,,,,,,,,
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,65,82,180,33,71,,,,,,,,,,,,,,,,,,,,,,,
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,166,57,94,,,,,,,,,,,,,,,,,,,,,,,
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,45,85,160,71,50,,,,,,,,,,,,,,,,,,,,,,,
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,160,65,80,,,,,,,,,,,,,,,,,,,,,,,
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,54,70,92,70,63,,,,,,,,,,,,,,,,,,,,,,,
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,148,80,170,56,64,,,,,,,,,,,,,,,,,,,,,,,
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33,0,96,83,65,,,,,,,,,,,,,,,,,,,,,,,
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,60,20,120,67,52,,,,,,,,,,,,,,,,,,,,,,,
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,11,84,98,70,54,,,,,,,,,,,,,,,,,,,,,,,
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,146,72,92,53,34,,,,,,,,,,,,,,,,,,,,,,,
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,38,25,150,34,56,,,,,,,,,,,,,,,,,,,,,,,
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,61,96,94,37,47,,,,,,,,,,,,,,,,,,,,,,,
Cheques,Shubh,1,2023,5,19,67,8,47956378,7,10,90,74,63,,,,,,,,,,,,,,,,,,,,,,,
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,112,68,160,54,55,,,,,,,,,,,,,,,,,,,,,,,
Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391,73,120,70,75,,,,,,,,,,,,,,,,,,,,,,,
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,82,0,109,63,85,,,,,,,,,,,,,,,,,,,,,,,
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,187,99,129,57,66,,,,,,,,,,,,,,,,,,,,,,,
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,27,129,157,54,60,,,,,,,,,,,,,,,,,,,,,,,
You Belong With Me (Taylor's Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,47,90,130,63,73,,,,,,,,,,,,,,,,,,,,,,,
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836,124,133,107,65,72,,,,,,,,,,,,,,,,,,,,,,,
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,146,50,89,,,,,,,,,,,,,,,,,,,,,,,
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,1,50,139,48,41,,,,,,,,,,,,,,,,,,,,,,,
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611,71,37,116,74,70,,,,,,,,,,,,,,,,,,,,,,,
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,4,3,95,84,77,,,,,,,,,,,,,,,,,,,,,,,
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,170,62,80,,,,,,,,,,,,,,,,,,,,,,,
Ditto,NewJeans,1,2022,12,19,1154,22,397582059,28,125,134,81,64,,,,,,,,,,,,,,,,,,,,,,,
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,34,0,84,57,90,,,,,,,,,,,,,,,,,,,,,,,
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,146,61,48,,,,,,,,,,,,,,,,,,,,,,,
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22,18,74,53,67,,,,,,,,,,,,,,,,,,,,,,,
Acróstico,Shakira,1,2023,5,11,955,29,123124076,37,50,144,75,48,,,,,,,,,,,,,,,,,,,,,,,
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,12,117,136,77,73,,,,,,,,,,,,,,,,,,,,,,,
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,100,56,55,,,,,,,,,,,,,,,,,,,,,,,
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,105,89,78,,,,,,,,,,,,,,,,,,,,,,,
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,106,67,78,,,,,,,,,,,,,,,,,,,,,,,
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,132,85,68,,,,,,,,,,,,,,,,,,,,,,,
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,41,120,78,30,,,,,,,,,,,,,,,,,,,,,,,
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,155,82,39,,,,,,,,,,,,,,,,,,,,,,,
Abcdario,"Junior H, Eden Muñoz ",2,2023,5,13,262,5,89933133,8,60,129,70,43,,,,,,,,,,,,,,,,,,,,,,,
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,135,80,74,,,,,,,,,,,,,,,,,,,,,,,
P??MAN DE??L?M,Do?u Swag,2,2023,6,2,185,3,43522589,5,6,98,73,62,,,,,,,,,,,,,,,,,,,,,,,
FLOWER,JISOO,1,2023,3,31,839,18,232896922,20,110,124,84,39,,,,,,,,,,,,,,,,,,,,,,,
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,5,17,135,77,55,,,,,,,,,,,,,,,,,,,,,,,
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,78,53,,,,,,,,,,,,,,,,,,,,,,,
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,116,84,96,54,74,,,,,,,,,,,,,,,,,,,,,,,
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,47,77,123,71,70,,,,,,,,,,,,,,,,,,,,,,,
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,90,62,62,,,,,,,,,,,,,,,,,,,,,,,
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,41,69,117,72,59,,,,,,,,,,,,,,,,,,,,,,,
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,133,78,84,,,,,,,,,,,,,,,,,,,,,,,
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,29,65,96,74,83,,,,,,,,,,,,,,,,,,,,,,,
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,10,72,149,66,60,,,,,,,,,,,,,,,,,,,,,,,
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,110,66,40,,,,,,,,,,,,,,,,,,,,,,,
Players,Coi Leray,1,2022,11,30,4096,6,335074782,118,48,105,95,52,,,,,,,,,,,,,,,,,,,,,,,
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,105,80,78,,,,,,,,,,,,,,,,,,,,,,,
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23,82,134,76,58,,,,,,,,,,,,,,,,,,,,,,,
Normal,Feid,1,2022,7,8,2461,36,459276435,47,66,170,71,56,,,,,,,,,,,,,,,,,,,,,,,
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,81,59,60,,,,,,,,,,,,,,,,,,,,,,,
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7,29,154,63,92,,,,,,,,,,,,,,,,,,,,,,,
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,169,69,51,,,,,,,,,,,,,,,,,,,,,,,
CUFF IT, Beyoncé,1,2022,7,29,7842,10,595900742,215,88,115,78,69,,,,,,,,,,,,,,,,,,,,,,,
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,84,43,74,,,,,,,,,,,,,,,,,,,,,,,
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,93,79,62,,,,,,,,,,,,,,,,,,,,,,,
Niéa Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29,26,91,82,62,,,,,,,,,,,,,,,,,,,,,,,
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,142,82,44,,,,,,,,,,,,,,,,,,,,,,,
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar,  Beyoncé",2,2023,5,19,896,0,57089066,34,2,126,78,70,,,,,,,,,,,,,,,,,,,,,,,
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,97,73,44,,,,,,,,,,,,,,,,,,,,,,,
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3,10,101,92,51,,,,,,,,,,,,,,,,,,,,,,,
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,98,80,48,,,,,,,,,,,,,,,,,,,,,,,
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8,57,154,59,89,,,,,,,,,,,,,,,,,,,,,,,
Cupido,Tini,1,2023,2,14,1240,24,217672943,51,29,120,91,58,,,,,,,,,,,,,,,,,,,,,,,
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72,27,150,49,55,,,,,,,,,,,,,,,,,,,,,,,
Unstoppable,Sia,1,2016,1,21,7681,13,939844851,119,66,174,47,78,,,,,,,,,,,,,,,,,,,,,,,
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,69,100,202,34,51,,,,,,,,,,,,,,,,,,,,,,,
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84,84,153,56,52,,,,,,,,,,,,,,,,,,,,,,,
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258,87,142,60,37,,,,,,,,,,,,,,,,,,,,,,,
CarTáOK½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,7,2,108,84,47,,,,,,,,,,,,,,,,,,,,,,,
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3,3,143,83,69,,,,,,,,,,,,,,,,,,,,,,,
Oi Balde - Ao Vivo,Zé Neto & Crist,1,2023,2,14,845,2,145458418,12,57,108,67,67,,,,,,,,,,,,,,,,,,,,,,,
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,81,53,104,95,66,,,,,,,,,,,,,,,,,,,,,,,
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,41,22,93,84,79,,,,,,,,,,,,,,,,,,,,,,,
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,3,79,105,65,53,,,,,,,,,,,,,,,,,,,,,,,
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,109,42,170,44,32,,,,,,,,,,,,,,,,,,,,,,,
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,178,62,66,,,,,,,,,,,,,,,,,,,,,,,
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37,3,176,50,76,,,,,,,,,,,,,,,,,,,,,,,
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,104,80,88,,,,,,,,,,,,,,,,,,,,,,,
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,85,70,84,,,,,,,,,,,,,,,,,,,,,,,
Conexées de Méfia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,17,7,117,77,58,,,,,,,,,,,,,,,,,,,,,,,
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15,26,80,52,48,,,,,,,,,,,,,,,,,,,,,,,
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,98,44,41,,,,,,,,,,,,,,,,,,,,,,,
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,45,80,178,79,78,,,,,,,,,,,,,,,,,,,,,,,
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,67,55,148,51,33,,,,,,,,,,,,,,,,,,,,,,,
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,120,77,66,,,,,,,,,,,,,,,,,,,,,,,
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,122,68,88,,,,,,,,,,,,,,,,,,,,,,,
Cupid ' Twin Ver. (FIFTY FIFTY) ' Spe,sped up 8282,1,1997,1,1,472,2,103762518,0,0,144,74,73,,,,,,,,,,,,,,,,,,,,,,,
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,96,93,47,,,,,,,,,,,,,,,,,,,,,,,
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,137,77,88,,,,,,,,,,,,,,,,,,,,,,,
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21,4,121,94,61,,,,,,,,,,,,,,,,,,,,,,,
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,119,60,57,,,,,,,,,,,,,,,,,,,,,,,
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26,6,96,72,47,,,,,,,,,,,,,,,,,,,,,,,
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,114,104,111,87,52,,,,,,,,,,,,,,,,,,,,,,,
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,148,90,68,,,,,,,,,,,,,,,,,,,,,,,
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,182,57,59,,,,,,,,,,,,,,,,,,,,,,,
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234,71,141,79,86,,,,,,,,,,,,,,,,,,,,,,,
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,8,84,145,76,81,,,,,,,,,,,,,,,,,,,,,,,
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,110,76,70,,,,,,,,,,,,,,,,,,,,,,,
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5,6,134,70,41,,,,,,,,,,,,,,,,,,,,,,,
DESPECHï¿, ROSALÍA,1,2022,7,28,7613,33,782369383,180,90,130,92,62,,,,,,,,,,,,,,,,,,,,,,,
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,142,23,145,84,53,,,,,,,,,,,,,,,,,,,,,,,
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0,0,130,69,90,,,,,,,,,,,,,,,,,,,,,,,
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17,80,173,59,53,,,,,,,,,,,,,,,,,,,,,,,
Punto G,Quevedo,1,2022,11,4,1985,35,381161027,34,26,92,75,76,,,,,,,,,,,,,,,,,,,,,,,
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,3,1,105,56,87,,,,,,,,,,,,,,,,,,,,,,,
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,18,78,175,59,64,,,,,,,,,,,,,,,,,,,,,,,
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17,13,120,80,70,,,,,,,,,,,,,,,,,,,,,,,
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,3,31,139,70,48,,,,,,,,,,,,,,,,,,,,,,,
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4,71,132,59,82,,,,,,,,,,,,,,,,,,,,,,,
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,114,32,74,,,,,,,,,,,,,,,,,,,,,,,
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,5,9,145,54,48,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,53,120,110,82,69,,,,,,,,,,,,,,,,,,,,,,,
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,21,55,94,89,66,,,,,,,,,,,,,,,,,,,,,,,
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151,107,134,45,60,,,,,,,,,,,,,,,,,,,,,,,
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,4,72,120,62,76,,,,,,,,,,,,,,,,,,,,,,,
Rosa Pastel,"Jasiel Nuñez, Peso P",2,2023,2,2,200,4,90025258,8,77,123,70,68,,,,,,,,,,,,,,,,,,,,,,,
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,156,35,131,77,71,,,,,,,,,,,,,,,,,,,,,,,
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,247,54,171,70,73,,,,,,,,,,,,,,,,,,,,,,,
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,18,51,130,80,76,,,,,,,,,,,,,,,,,,,,,,,
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,94,82,67,,,,,,,,,,,,,,,,,,,,,,,
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4,45,89,73,57,,,,,,,,,,,,,,,,,,,,,,,
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,87,65,56,,,,,,,,,,,,,,,,,,,,,,,
"Arcéngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,11,3,124,72,78,,,,,,,,,,,,,,,,,,,,,,,
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,78,71,65,,,,,,,,,,,,,,,,,,,,,,,
10:35,"Tiésto, Tate M",2,2022,11,1,4942,26,325592432,190,104,120,70,79,,,,,,,,,,,,,,,,,,,,,,,
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,96,48,80,,,,,,,,,,,,,,,,,,,,,,,
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,106,73,86,,,,,,,,,,,,,,,,,,,,,,,
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,4,11,170,78,46,,,,,,,,,,,,,,,,,,,,,,,
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16,15,134,67,76,,,,,,,,,,,,,,,,,,,,,,,
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,166,42,115,71,73,,,,,,,,,,,,,,,,,,,,,,,
Leão,Marélia Mendo,1,2022,12,9,993,4,267789608,30,84,130,74,87,,,,,,,,,,,,,,,,,,,,,,,
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,240,98,118,65,79,,,,,,,,,,,,,,,,,,,,,,,
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,67,84,110,59,38,,,,,,,,,,,,,,,,,,,,,,,
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29,9,100,72,66,,,,,,,,,,,,,,,,,,,,,,,
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5,48,142,70,79,,,,,,,,,,,,,,,,,,,,,,,
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19,29,140,64,37,,,,,,,,,,,,,,,,,,,,,,,
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,81,27,116,90,73,,,,,,,,,,,,,,,,,,,,,,,
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,37,88,120,73,85,,,,,,,,,,,,,,,,,,,,,,,
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,28,57,92,76,79,,,,,,,,,,,,,,,,,,,,,,,
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,23,2,110,81,79,,,,,,,,,,,,,,,,,,,,,,,
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,20,68,120,71,97,,,,,,,,,,,,,,,,,,,,,,,
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774,21,0,80,63,61,,,,,,,,,,,,,,,,,,,,,,,
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,52,66,115,95,69,,,,,,,,,,,,,,,,,,,,,,,
I Love You So,The Walters,1,2014,11,28,7536,7,972164968,44,19,76,58,67,,,,,,,,,,,,,,,,,,,,,,,
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682,71,53,172,60,78,,,,,,,,,,,,,,,,,,,,,,,
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338,231,37,99,40,56,,,,,,,,,,,,,,,,,,,,,,,
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122,94,136,36,57,,,,,,,,,,,,,,,,,,,,,,,
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,27,27,150,90,14,,,,,,,,,,,,,,,,,,,,,,,
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,92,71,31,,,,,,,,,,,,,,,,,,,,,,,
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,20,8,95,77,87,,,,,,,,,,,,,,,,,,,,,,,
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,72,64,102,83,83,,,,,,,,,,,,,,,,,,,,,,,
Low,SZA,1,2022,12,9,1911,0,272377463,23,71,145,70,55,,,,,,,,,,,,,,,,,,,,,,,
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,39,0,110,50,86,,,,,,,,,,,,,,,,,,,,,,,
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,32,18,95,64,77,,,,,,,,,,,,,,,,,,,,,,,
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22,82,94,68,82,,,,,,,,,,,,,,,,,,,,,,,
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,11,58,142,61,91,,,,,,,,,,,,,,,,,,,,,,,
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,108,16,145,59,74,,,,,,,,,,,,,,,,,,,,,,,
Ain't Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,4,20,121,64,80,,,,,,,,,,,,,,,,,,,,,,,
Thinkin' B,Morgan Wallen,1,2023,3,3,604,6,125917280,22,101,140,66,76,,,,,,,,,,,,,,,,,,,,,,,
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,29,3,137,84,67,,,,,,,,,,,,,,,,,,,,,,,
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,54,104,56,85,,,,,,,,,,,,,,,,,,,,,,,
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61,6,92,57,76,,,,,,,,,,,,,,,,,,,,,,,
LET GO,Central Cee,1,2022,12,15,2301,20,298063749,49,23,146,74,45,,,,,,,,,,,,,,,,,,,,,,,
Sial,Mahalini,1,2023,1,23,134,4,166570053,4,6,120,56,43,,,,,,,,,,,,,,,,,,,,,,,
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,17,144,68,81,,,,,,,,,,,,,,,,,,,,,,,
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11,101,94,59,56,,,,,,,,,,,,,,,,,,,,,,,
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,32,3,94,73,79,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663,30,15,113,79,74,,,,,,,,,,,,,,,,,,,,,,,
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,14,35,148,50,76,,,,,,,,,,,,,,,,,,,,,,,
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45,11,98,70,73,,,,,,,,,,,,,,,,,,,,,,,
